task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	2f/4b8b19	2025	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:BOWTIE2_BUILD (MN908947.fasta)	COMPLETED	0	2025-04-19 16:48:59.493	25m 9s	2s	125.2%	111.3 MB	432.5 MB	1.8 MB	8.3 MB
2	4c/14d19e	2334	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (MN908947.fasta)	COMPLETED	0	2025-04-19 17:14:09.120	3.6s	0ms	94.8%	3.1 MB	5.4 MB	134 KB	4.8 KB
1	48/fc0be7	2515	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:COLLAPSE_PRIMERS (nCoV-2019.bed)	COMPLETED	0	2025-04-19 17:14:12.803	1m 40s	1s	85.7%	11.1 MB	16.3 MB	679.4 KB	5.1 KB
3	f4/194f62	2724	NFCORE_VIRALRECON:ILLUMINA:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2025-04-19 17:15:52.922	1.7s	1s	87.0%	11 MB	16 MB	683.4 KB	1 KB
12	ec/2c8365	2933	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5743893)	COMPLETED	0	2025-04-19 17:15:55.260	1m 8s	42s	124.5%	1.2 GB	1.4 GB	36.5 MB	6.4 MB
11	3f/ca8ffd	3953	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2025-04-19 17:17:03.788	56m 31s	12s	252.7%	500.4 MB	3.3 GB	33.3 MB	3.9 MB
5	16/d0a89c	4767	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2025-04-19 18:13:37.219	37.3s	33s	262.4%	456.3 MB	3.3 GB	73.3 MB	3.9 MB
9	df/76ca8e	5854	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2025-04-19 18:14:14.668	29.3s	21s	237.9%	457 MB	3.3 GB	34.3 MB	3.8 MB
10	14/4b33bd	6720	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5556343)	COMPLETED	0	2025-04-19 18:14:44.414	52.3s	49s	141.4%	1.3 GB	1.7 GB	38.9 MB	9.1 MB
8	f1/4598cb	7788	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2025-04-19 18:15:36.793	11.5s	9s	238.9%	467.8 MB	3.3 GB	33.3 MB	3.6 MB
7	ef/7ebd14	8495	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5405022)	COMPLETED	0	2025-04-19 18:15:48.362	9.4s	7s	157.9%	1.3 GB	1.7 GB	36.7 MB	7.5 MB
6	52/aed38c	9025	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTP (ERR5181310)	COMPLETED	0	2025-04-19 18:15:57.761	41.7s	40s	277.2%	1.9 GB	2.2 GB	80.4 MB	40 MB
14	8f/3c52f0	10043	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2025-04-19 18:16:39.550	16.7s	14s	230.1%	509.9 MB	3.3 GB	37.6 MB	4 MB
